"","logFC","logCPM","LR","PValue","FDR"
"AT2G19190",-4.47008492155214,7.38436398662012,97.4474885548625,5.53036369055757e-23,6.98595541391232e-19
"AT2G44370",-5.36955954006861,5.21009203148469,93.7902345797862,3.50798301661943e-22,2.21564207329683e-18
"AT3G46280",-4.82999295904475,8.10112037548363,92.77938123762,5.84610525803109e-22,2.46160005398162e-18
"AT2G39380",-4.87817072192784,5.77701471328196,91.22144015953,1.28460791777961e-21,4.056791804348e-18
"AT3G55150",-5.72811074213153,4.92209733789922,88.6263813151074,4.76886675590182e-21,1.20480649721103e-17
"AT1G51820",-4.31301558228428,6.38680302138933,87.6815254358382,7.68892204926844e-21,1.48453075786612e-17
"AT2G39530",-4.28857301352245,6.72135829084774,87.5478578727502,8.22650039982811e-21,1.48453075786612e-17
"AT4G12500",-4.34806349696752,10.4651868018992,84.9392340263795,3.07676967663207e-20,4.85821931940204e-17
"AT1G51850",-5.22013102663289,5.41825752642448,81.1816295431749,2.05897071535312e-19,2.88987978626006e-16
"AT5G48430",-6.19851581907555,6.76252108683507,79.1122196038235,5.8680255912836e-19,7.41248992690945e-16
"AT5G64120",-3.68645728700204,9.71238275398142,78.1230568099091,9.68172366908521e-19,1.11181393988986e-15
"AT1G51800",-3.91757248183821,7.72137624203529,75.83489483713,3.08402606529599e-18,3.24645143806824e-15
"AT4G12490",-3.81275424260462,10.2195954681341,75.4961972659378,3.66111311096264e-18,3.55747544751385e-15
"AT2G17740",-4.09075064212927,6.79177854069301,71.0110768401262,3.55224917981809e-17,3.205143688533e-14
"AT2G39200",-3.88603701944846,9.00390886156849,68.8829305956414,1.04485264618214e-16,8.7990524177152e-14
"AT2G43620",-3.1286843812909,9.9369153239384,59.1386014224954,1.46948107855126e-14,1.16015531151622e-11
"AT2G30750",-4.59196407023355,5.63120177825665,58.5610392158707,1.9708076212372e-14,1.46442599243931e-11
"AT1G30720",-3.65302498280214,6.87627528152055,55.9392711087197,7.47445174375078e-14,5.24540413483666e-11
"AT3G45060",-3.10990841954729,7.14375088106473,55.2266908285878,1.07400396532786e-13,7.14043057369555e-11
"AT5G39580",-3.3538067167217,6.60733064368758,54.3619565256283,1.66760247171936e-13,1.05325772113795e-10
"AT3G21230",-3.03430880350838,6.60715966962085,53.787611140916,2.23376826757631e-13,1.3436647979059e-10
"AT2G45220",-3.45204667669441,7.74150723406079,53.5583815815291,2.5102118311572e-13,1.44131799323535e-10
"AT4G20860",-3.4330227255512,8.28880151211241,52.6288964286653,4.0291717043811e-13,2.21289117259748e-10
"AT2G35930",-3.04796035047347,6.46443786500866,52.3752812915316,4.58458407032274e-13,2.41301941567987e-10
"AT1G51890",-2.95628934220688,6.00887990431321,51.425616537655,7.43618685872014e-13,3.75735649597411e-10
"AT1G30730",-3.36802349866098,5.82455409598076,51.2018027928304,8.33420542508423e-13,4.04914165114092e-10
"AT5G44390",-3.17362190715034,5.32499632740823,48.2807166341755,3.69366698912582e-12,1.72808894098657e-09
"AT1G65500",-3.38809353494012,6.07852958222409,48.1981144998791,3.85258623904546e-12,1.73806676327222e-09
"AT4G01700",-3.08088270265261,7.57552292060038,47.8615954266395,4.57393917195753e-12,1.95610729211564e-09
"AT5G44380",-3.40945264395893,6.27163443416785,47.8311167705342,4.64559996544246e-12,1.95610729211564e-09
