"","logFC","logCPM","LR","PValue","FDR"
"AT5G67470",0.5199137,5.239256,1.247874,0.2639589,0.7317292
"AT1G04860",-0.4980035,4.597469,1.247852,0.2639632,0.7317292
"AT4G39890",-0.5991607,4.028713,1.246693,0.264185,0.7317292
"AT4G22310",-0.4308816,6.789951,1.246647,0.2641939,0.7317292
"AT2G37580",0.4582316,5.145182,1.246488,0.2642243,0.7317292
"AT5G24350",-0.5801612,4.276618,1.246451,0.2642314,0.7317292
"AT4G38480",-0.8205458,3.726491,1.246304,0.2642595,0.7317292
"AT4G25170",0.5465457,5.085675,1.246295,0.2642613,0.7317292
"AT1G74720",0.6041007,4.049684,1.244241,0.2646553,0.7325792
"AT1G06500",0.8952776,3.214254,1.24409,0.2646842,0.7325792
"AT1G53380",-0.4995477,4.659399,1.243243,0.2648469,0.7327316
"AT2G47230",-1.183339,3.860484,1.243199,0.2648553,0.7327316
"AT4G25520",-0.5947411,4.297156,1.241194,0.265241,0.7334288
"AT5G54310",-0.416176,6.784323,1.241159,0.2652478,0.7334288
"AT2G25510",0.4737498,12.31737,1.240605,0.2653545,0.7334288
"AT5G59750",0.5989074,4.205681,1.24039,0.265396,0.7334288
"AT5G20600",-0.5245379,4.473293,1.240381,0.2653977,0.7334288
"AT1G35620",0.4883214,5.294267,1.239362,0.265594,0.733811
"AT2G07360",-0.4985291,6.035943,1.238452,0.2657696,0.7340361
"AT4G32610",0.4382769,5.578404,1.23769,0.2659168,0.7340361
"AT5G27350",-0.4912161,5.974857,1.237535,0.2659466,0.7340361
"AT3G01320",0.5667816,4.333289,1.237378,0.2659769,0.7340361
"AT1G18260",-0.4996631,5.913963,1.237083,0.2660339,0.7340361
"AT3G57800",0.4564765,4.906293,1.236922,0.266065,0.7340361
"AT4G31340",-0.4941551,6.804899,1.236833,0.2660823,0.7340361
"AT3G26840",0.5325278,5.021058,1.234705,0.2664939,0.7350112
"AT4G18010",-0.4741079,6.394201,1.234167,0.2665983,0.7351385
"AT3G33000",0.6438692,4.435102,1.233638,0.2667007,0.7352271
"AT3G10060",0.4546784,6.071064,1.2334,0.2667468,0.7352271
"AT5G34728",-1.458381,3.414907,1.232229,0.266974,0.7356928
"AT1G01820",-0.4065004,6.070195,1.231814,0.2670545,0.7357542
"AT2G33310",0.9836483,3.193422,1.231106,0.2671921,0.7358454
"AT3G07690",-0.7562085,3.590449,1.231044,0.2672041,0.7358454
"AT4G34670",-0.4174436,7.813516,1.230232,0.267362,0.7360066
"AT3G25805",0.73332,3.626722,1.230143,0.2673792,0.7360066
"AT3G12670",0.5746837,4.292714,1.228673,0.2676653,0.7366336
"AT1G66480",-0.7697005,3.473521,1.226895,0.2680117,0.7371509
"AT4G11270",-0.5557237,4.344695,1.226712,0.2680474,0.7371509
"AT2G14120",-0.4265472,5.671643,1.226448,0.268099,0.7371509
"AT5G06950",0.6771735,3.49156,1.226413,0.2681057,0.7371509
"AT3G27930",-0.719502,3.489203,1.226212,0.268145,0.7371509
"AT3G42630",0.8563325,3.305603,1.225626,0.2682594,0.7372699
"AT4G36950",-1.070827,3.53383,1.225101,0.2683619,0.7372699
"AT5G10670",1.189424,3.049396,1.224541,0.2684714,0.7372699
"AT1G28350",-0.5844669,4.384364,1.223979,0.2685812,0.7372699
"AT3G52240",-0.4352531,5.358209,1.223961,0.2685847,0.7372699
"AT1G55930",0.7418552,3.567748,1.223588,0.2686576,0.7372699
"AT3G01460",-0.6184867,4.164081,1.223375,0.2686993,0.7372699
"AT1G58060",-0.674938,3.618579,1.223243,0.2687251,0.7372699
"AT4G04770",0.4408551,7.204393,1.222807,0.2688104,0.7372699
"AT2G17540",0.5574128,4.609141,1.222784,0.2688149,0.7372699
"AT1G51700",-0.4808144,5.964925,1.222705,0.2688304,0.7372699
"AT3G63030",0.4950908,4.747424,1.22228,0.2689136,0.7373381
"AT1G12530",0.6796187,4.890092,1.221913,0.2689856,0.7373593
"AT2G15430",0.642728,3.861146,1.221628,0.2690414,0.7373593
"AT5G14040",-0.6265659,9.337091,1.221347,0.2690965,0.7373593
"AT2G04270",0.6605154,3.603462,1.22068,0.2692272,0.7375576
"AT2G37760",0.4561838,5.491683,1.220357,0.2692906,0.7375712
"AT4G22580",-0.5689413,5.73515,1.219361,0.269486,0.7379466
"AT3G16940",-0.4245467,5.475851,1.21901,0.2695549,0.7379753
"AT3G28580",-0.6483041,3.826128,1.218588,0.2696379,0.7380425
"AT5G08415",0.5178063,4.30008,1.217792,0.2697944,0.7382601
"AT5G04890",0.721385,4.170647,1.217589,0.2698343,0.7382601
"AT4G22820",-0.4804571,5.527995,1.216891,0.2699717,0.7384761
"AT2G17340",0.4600154,6.170027,1.216188,0.2701101,0.7386946
"AT4G11380",-0.4117085,6.060318,1.215534,0.2702389,0.7388189
"AT3G11660",0.4196069,8.375825,1.215336,0.270278,0.7388189
"AT5G39570",0.5507542,10.96286,1.215033,0.2703376,0.7388189
"AT1G59650",-0.6045263,3.887728,1.21477,0.2703895,0.7388189
"AT3G54200",0.4250854,6.514466,1.214342,0.2704738,0.7388396
"AT5G03345",-0.5558242,4.718142,1.214139,0.270514,0.7388396
"AT5G46630",-0.4293819,6.197231,1.213597,0.2706209,0.7389716
"AT2G22122",-0.8472683,3.329427,1.212823,0.2707738,0.7391012
"AT2G14255",-0.5269166,5.246673,1.212757,0.2707868,0.7391012
"AT3G58760",-0.5519822,4.248117,1.212468,0.2708438,0.7391012
"AT3G19150",-0.5841603,4.148003,1.212132,0.2709103,0.7391228
"AT5G63870",0.5072534,4.496099,1.20993,0.2713459,0.7399987
"AT4G37020",-0.6282536,3.784234,1.209917,0.2713485,0.7399987
"AT1G73230",0.5236594,6.720492,1.209125,0.2715056,0.7400031
"AT2G22360",0.4734132,6.028937,1.208996,0.271531,0.7400031
"AT4G23100",0.4581859,7.050941,1.20879,0.2715719,0.7400031
"AT4G23630",0.4267071,7.383804,1.208727,0.2715844,0.7400031
"AT3G56340",-0.4785346,6.36848,1.207457,0.2718363,0.7401624
"AT5G43700",0.8005844,3.731152,1.207277,0.271872,0.7401624
"AT3G14080",-0.9500623,3.154482,1.206985,0.27193,0.7401624
"AT2G28930",-0.6128912,4.270391,1.206777,0.2719713,0.7401624
"AT3G26900",0.5518532,6.385147,1.206089,0.272108,0.7401624
"AT3G14790",-0.5447863,4.131669,1.206008,0.2721242,0.7401624
"AT1G47870",-0.6072454,4.108274,1.205878,0.2721501,0.7401624
"AT5G03290",-0.4036254,6.061493,1.205369,0.2722512,0.7401624
"AT1G70830",0.7279666,3.828628,1.20516,0.2722928,0.7401624
"AT2G03870",0.6484939,3.698761,1.204937,0.2723371,0.7401624
"AT4G19710",0.5218196,4.680321,1.204693,0.2723857,0.7401624
"AT3G59140",-0.9690605,3.119838,1.20441,0.2724421,0.7401624
"AT5G39040",0.5218289,4.314191,1.204397,0.2724447,0.7401624
"AT3G10300",-0.5477015,6.919878,1.204188,0.2724863,0.7401624
"AT2G23310",-0.5324087,5.138912,1.203908,0.272542,0.7401624
"AT3G22630",-0.5000439,4.729022,1.203619,0.2725995,0.7401624
"AT1G48620",0.4066756,7.027709,1.203421,0.272639,0.7401624
"AT5G16720",1.367034,2.748804,1.202834,0.2727559,0.7403207
"AT2G33570",0.7740157,3.398114,1.202323,0.2728579,0.7403226
"AT5G44060",-0.6617205,4.079486,1.202243,0.2728738,0.7403226
"AT2G19170",0.8264363,3.288379,1.201413,0.2730394,0.7406127
"AT5G58590",0.5645724,5.022796,1.201108,0.2731003,0.740619
"AT3G02020",0.4588534,5.485624,1.200189,0.273284,0.7409579
"AT1G23220",-0.6039979,4.892748,1.199579,0.2734058,0.7409629
"AT1G16350",0.4555626,5.306168,1.199015,0.2735186,0.7409629
"AT5G13410",0.6000028,5.048021,1.198911,0.2735394,0.7409629
"AT1G56200",0.4658842,7.17611,1.198882,0.2735451,0.7409629
"AT2G45640",0.56603,4.442426,1.198336,0.2736545,0.7409629
"AT4G30600",-0.4568558,6.65398,1.198287,0.2736643,0.7409629
